match_id,date,tournament,team1_name,team2_name,event_type,decider_map,winner,team1_avg_RATING,team2_avg_RATING,rating_diff,team1_avg_ADR,team2_avg_ADR,team1_avg_KAST,team2_avg_KAST,team1_totalwinrate,team2_totalwinrate,score_team1,score_team2
hltv_match_2371997,2024-05-15T06:00:00Z,BetBoom Dacha Belgrade 2024,Spirit,Aurora,LAN,Anubis,team1,1.14,1.07,0.0699999999999998,78.98,77.6,73.36,71.34,0.8055555555555556,0.4,2,0
hltv_match_2372188,2024-05-15T08:00:00Z,RES Regional Series 4 Europe,3DMAX,Zero Tenacity,Online,Inferno,team2,1.05,1.02,0.03,73.98,74.24,70.82,69.98,0.5862068965517241,0.4318181818181818,1,2
hltv_match_2372226,2024-05-15T08:30:00Z,CCT Season 2 Europe Series 4 Closed Qualifier,MASONIC,CPH Wolves,Online,Inferno,team2,0.99,1.04,-0.05,72.32,73.46,68.4,70.54,0.25,0.4285714285714285,1,2
hltv_match_2371998,2024-05-15T08:45:00Z,BetBoom Dacha Belgrade 2024,HEROIC,MIBR,LAN,Ancient,team1,1.06,1.15,-0.0899999999999998,73.1,78.02,71.46,73.48,0.6111111111111112,0.4666666666666667,2,1
hltv_match_2372273,2024-05-15T09:30:00Z,ESL Challenger League Season 47 Europe,EYEBALLERS,9INE,Online,Mirage,team1,1.03,1.06,-0.03,73.06,74.26,70.44,71.6,0.4054054054054054,0.4375,2,0
hltv_match_2371994,2024-05-15T12:50:00Z,BetBoom Dacha Belgrade 2024,BetBoom,Falcons,LAN,Nuke,team2,1.1,1.15,-0.0499999999999998,75.6,81.2,72.12,72.9,0.6071428571428571,0.3461538461538461,1,2
hltv_match_2372055,2024-05-15T13:00:00Z,Thunderpick World Championship 2024 SA Closed Qualifier 1,Imperial,Fluxo,Online,Inferno,team1,1.09,1.11,-0.02,75.0,76.84,72.82,71.78,0.6296296296296297,0.4761904761904761,2,0
hltv_match_2372190,2024-05-15T14:00:00Z,RES Regional Series 4 Europe,B8,PARIVISION,Online,Anubis,team2,1.09,1.12,-0.03,75.36,76.58,72.84,72.88,0.5660377358490566,0.6153846153846154,0,2
hltv_match_2372228,2024-05-15T14:00:00Z,CCT Season 2 Europe Series 4 Closed Qualifier,GUN5,777,Online,Anubis,team1,1.08,1.0,0.08,75.0,72.02,71.48,69.64,0.5737704918032787,0.2,2,0
hltv_match_2372054,2024-05-15T16:00:00Z,Thunderpick World Championship 2024 SA Closed Qualifier 1,9z,Sharks,Online,Mirage,team1,1.1,1.11,-0.01,76.06,76.38,72.26,72.46,0.4166666666666667,0.3658536585365853,2,1
hltv_match_2372176,2024-05-15T17:00:00Z,ESL Challenger League Season 47 South America,BESTIA,ODDIK,Online,Anubis,team1,1.09,1.08,0.01,75.44,74.77,71.5,71.1,0.5434782608695652,0.425531914893617,13,6
hltv_match_2372182,2024-05-15T18:00:00Z,ESL Challenger League Season 47 South America,ODDIK,BESTIA,Online,Nuke,team2,1.08,1.09,-0.01,74.77,75.44,71.1,71.5,0.6521739130434783,0.5531914893617021,4,13
hltv_match_2372175,2024-05-15T19:00:00Z,ESL Challenger League Season 47 South America,9z,RED Canids,Online,Nuke,team2,1.1,1.09,0.01,76.06,73.86,72.26,72.34,0.4,0.4791666666666667,11,13
hltv_match_2372181,2024-05-15T20:25:00Z,ESL Challenger League Season 47 South America,RED Canids,9z,Online,Ancient,team2,1.09,1.1,-0.01,73.86,76.06,72.34,72.26,0.575,0.4482758620689655,9,13
hltv_match_2372143,2024-05-15T21:00:00Z,ESL Challenger League Season 47 North America,NRG,LAG,Online,Vertigo,team1,1.08,1.03,0.05,76.52,73.42,72.28,70.35,0.6428571428571429,0.3,13,4
hltv_match_2372141,2024-05-15T21:00:00Z,ESL Challenger League Season 47 North America,BOSS,Wildcard,Online,Ancient,team2,1.06,1.07,-0.01,74.1,74.5,71.48,71.84,0.375,0.4864864864864865,7,13
